function_type, m, n, sparsity, sparsity_pattern, generation_time, TF_setup, tacotensor_init, tacotensor_insert, B_pack, c_pack, t_compile, t_assemble, t_compute, computation_time
tf_noop_load_sparse_tensor_func2, 500, 500, 0.01, ratio_based, 0.0142741203308, , , , , , , , , 0.0146389007568
tf_noop_load_sparse_tensor_func2, 500, 500, 0.02, ratio_based, 0.0284841060638, , , , , , , , , 0.0157158374786
tf_noop_load_sparse_tensor_func2, 500, 500, 0.03, ratio_based, 0.0448911190033, , , , , , , , , 0.016340970993
tf_noop_load_sparse_tensor_func2, 500, 500, 0.04, ratio_based, 0.0600619316101, , , , , , , , , 0.0167028903961
tf_noop_load_sparse_tensor_func2, 500, 500, 0.05, ratio_based, 0.0725178718567, , , , , , , , , 0.017333984375
tf_noop_load_sparse_tensor_func2, 500, 500, 0.06, ratio_based, 0.0897150039673, , , , , , , , , 0.0188879966736
tf_noop_load_sparse_tensor_func2, 500, 500, 0.07, ratio_based, 0.0994608402252, , , , , , , , , 0.0193719863892
tf_noop_load_sparse_tensor_func2, 1000, 1000, 0.01, ratio_based, 0.0572319030762, , , , , , , , , 0.0167961120605
tf_noop_load_sparse_tensor_func2, 1000, 1000, 0.02, ratio_based, 0.121646881104, , , , , , , , , 0.0203630924225
tf_noop_load_sparse_tensor_func2, 1000, 1000, 0.03, ratio_based, 0.173200130463, , , , , , , , , 0.023756980896
tf_noop_load_sparse_tensor_func2, 1000, 1000, 0.04, ratio_based, 0.231132030487, , , , , , , , , 0.0266439914703
tf_noop_load_sparse_tensor_func2, 1000, 1000, 0.05, ratio_based, 0.299978971481, , , , , , , , , 0.0298130512238
tf_noop_load_sparse_tensor_func2, 1000, 1000, 0.06, ratio_based, 0.371977090836, , , , , , , , , 0.0320808887482
tf_noop_load_sparse_tensor_func2, 1000, 1000, 0.07, ratio_based, 0.445703029633, , , , , , , , , 0.0375349521637
tf_noop_load_sparse_tensor_func2, 2000, 2000, 0.01, ratio_based, 0.235388040543, , , , , , , , , 0.0285518169403
tf_noop_load_sparse_tensor_func2, 2000, 2000, 0.02, ratio_based, 0.499853134155, , , , , , , , , 0.0391108989716
tf_noop_load_sparse_tensor_func2, 2000, 2000, 0.03, ratio_based, 0.72082400322, , , , , , , , , 0.0544369220734
tf_noop_load_sparse_tensor_func2, 2000, 2000, 0.04, ratio_based, 0.972985029221, , , , , , , , , 0.0675201416016
tf_noop_load_sparse_tensor_func2, 2000, 2000, 0.05, ratio_based, 1.15014386177, , , , , , , , , 0.0779809951782
tf_noop_load_sparse_tensor_func2, 2000, 2000, 0.06, ratio_based, 1.45987701416, , , , , , , , , 0.0905158519745
tf_noop_load_sparse_tensor_func2, 2000, 2000, 0.07, ratio_based, 1.65146589279, , , , , , , , , 0.108911037445
tf_sparse_matmul_func4, 500, 500, 0.01, ratio_based, 0.0143241882324, , , , , , , , , 0.0142698287964
tf_sparse_matmul_func4, 500, 500, 0.02, ratio_based, 0.0293838977814, , , , , , , , , 0.014240026474
tf_sparse_matmul_func4, 500, 500, 0.03, ratio_based, 0.0452680587769, , , , , , , , , 0.0155959129333
tf_sparse_matmul_func4, 500, 500, 0.04, ratio_based, 0.06059217453, , , , , , , , , 0.0159959793091
tf_sparse_matmul_func4, 500, 500, 0.05, ratio_based, 0.0728430747986, , , , , , , , , 0.0169439315796
tf_sparse_matmul_func4, 500, 500, 0.06, ratio_based, 0.0863859653473, , , , , , , , , 0.0180039405823
tf_sparse_matmul_func4, 500, 500, 0.07, ratio_based, 0.10312795639, , , , , , , , , 0.0193140506744
tf_sparse_matmul_func4, 1000, 1000, 0.01, ratio_based, 0.0590422153473, , , , , , , , , 0.0163908004761
tf_sparse_matmul_func4, 1000, 1000, 0.02, ratio_based, 0.116889953613, , , , , , , , , 0.0191969871521
tf_sparse_matmul_func4, 1000, 1000, 0.03, ratio_based, 0.175898075104, , , , , , , , , 0.0222489833832
tf_sparse_matmul_func4, 1000, 1000, 0.04, ratio_based, 0.229981899261, , , , , , , , , 0.0263121128082
tf_sparse_matmul_func4, 1000, 1000, 0.05, ratio_based, 0.293373823166, , , , , , , , , 0.0292630195618
tf_sparse_matmul_func4, 1000, 1000, 0.06, ratio_based, 0.3948969841, , , , , , , , , 0.0326669216156
tf_sparse_matmul_func4, 1000, 1000, 0.07, ratio_based, 0.423007965088, , , , , , , , , 0.0348160266876
tf_sparse_matmul_func4, 2000, 2000, 0.01, ratio_based, 0.230573892593, , , , , , , , , 0.0257639884949
tf_sparse_matmul_func4, 2000, 2000, 0.02, ratio_based, 0.488259077072, , , , , , , , , 0.0387740135193
tf_sparse_matmul_func4, 2000, 2000, 0.03, ratio_based, 0.751782178879, , , , , , , , , 0.0552358627319
tf_sparse_matmul_func4, 2000, 2000, 0.04, ratio_based, 0.95970916748, , , , , , , , , 0.0775728225708
tf_sparse_matmul_func4, 2000, 2000, 0.05, ratio_based, 1.24835395813, , , , , , , , , 0.0830190181732
tf_sparse_matmul_func4, 2000, 2000, 0.06, ratio_based, 1.45031690598, , , , , , , , , 0.0920341014862
tf_sparse_matmul_func4, 2000, 2000, 0.07, ratio_based, 1.75652503967, , , , , , , , , 0.110277891159
varmatmul_sparse_func2, 500, 500, 0.01, ratio_based, 0.0154211521149, 0.470281124115, 0.0539529323578, 0.352457046509, 1.43882989883, 0.0684499740601, 53.364937067, 0.0447280406952, 0.0176928043365, 0.0702199935913
varmatmul_sparse_func2, 500, 500, 0.02, ratio_based, 0.0287840366364, 0.437966823578, 0.0450229644775, 0.649496078491, 2.56701111794, 0.0706350803375, 53.4488670826, 0.0425279140472, 0.0202751159668, 0.0723538398743
varmatmul_sparse_func2, 500, 500, 0.03, ratio_based, 0.0452001094818, 0.470851898193, 0.0519990921021, 0.913881063461, 3.52492308617, 0.0706179141998, 53.61353302, 0.0430061817169, 0.0227489471436, 0.0749990940094
varmatmul_sparse_func2, 500, 500, 0.04, ratio_based, 0.0602447986603, 0.441544771194, 0.0622670650482, 1.2306702137, 4.43734192848, 0.0695669651031, 53.6831128597, 0.0436568260193, 0.0265212059021, 0.0775191783905
varmatmul_sparse_func2, 500, 500, 0.05, ratio_based, 0.0736079216003, 0.459689855576, 0.0516469478607, 1.48959112167, 5.52310490608, 0.0703160762787, 53.4607801437, 0.0446579456329, 0.0285758972168, 0.0786409378052
varmatmul_sparse_func2, 500, 500, 0.06, ratio_based, 0.090047121048, 0.441374063492, 0.0433588027954, 1.7787938118, 6.44645619392, 0.0695960521698, 56.2929620743, 0.0442340373993, 0.0324060916901, 0.0842308998108
varmatmul_sparse_func2, 500, 500, 0.07, ratio_based, 0.10569190979, 0.445163011551, 0.0430870056152, 2.14370298386, 7.45963811874, 0.0723659992218, 53.4792351723, 0.0447559356689, 0.0359790325165, 0.0839779376984
varmatmul_sparse_func2, 1000, 1000, 0.01, ratio_based, 0.0574419498444, 0.438761949539, 0.0531039237976, 1.27034211159, 5.16125798225, 0.129817008972, 53.7167949677, 0.0430960655212, 0.031585931778, 0.0775039196014
varmatmul_sparse_func2, 1000, 1000, 0.02, ratio_based, 0.120073080063, 0.449506044388, 0.043624162674, 2.47828912735, 9.08451414108, 0.130638122559, 54.1551301479, 0.0450820922852, 0.0672330856323, 0.0862579345703
varmatmul_sparse_func2, 1000, 1000, 0.03, ratio_based, 0.169333934784, 0.448483943939, 0.0446200370789, 5.41905498505, 13.2946929932, 0.130005836487, 54.3897981644, 0.0439839363098, 0.0526080131531, 0.0966010093689
varmatmul_sparse_func2, 1000, 1000, 0.04, ratio_based, 0.236217975616, 0.446403980255, 0.0448341369629, 4.8546769619, 17.3065969944, 0.133306980133, 54.0178098679, 0.0429520606995, 0.0622270107269, 0.104377031326
varmatmul_sparse_func2, 1000, 1000, 0.05, ratio_based, 0.296186923981, 0.450152873993, 0.0466051101685, 5.92162299156, 21.5237841606, 0.132154941559, 53.7735459805, 0.0458269119263, 0.0743219852448, 0.113127946854
varmatmul_sparse_func2, 1000, 1000, 0.06, ratio_based, 0.388154983521, 0.447550058365, 0.0431621074677, 6.96915221214, 25.7692611217, 0.131574869156, 53.6097509861, 0.0435149669647, 0.0859069824219, 0.119792938232
varmatmul_sparse_func2, 1000, 1000, 0.07, ratio_based, 0.417531013489, 0.44685792923, 0.0432229042053, 8.53241801262, 30.0832128525, 0.134103059769, 53.5063068867, 0.043751001358, 0.0974018573761, 0.129014015198
varmatmul_sparse_func2, 2000, 2000, 0.01, ratio_based, 0.229460954666, 0.443298101425, 0.0701739788055, 4.96478700638, 18.5654020309, 0.25576710701, 55.6161279678, 0.0451159477234, 0.0764951705933, 0.106104850769
varmatmul_sparse_func2, 2000, 2000, 0.02, ratio_based, 0.493571996689, 0.44830083847, 0.0432801246643, 9.66854500771, 35.6042370796, 0.259607076645, 53.244259119, 0.045154094696, 0.119371891022, 0.142324924469
varmatmul_sparse_func2, 2000, 2000, 0.03, ratio_based, 0.737743854523, 0.447368860245, 0.0441980361938, 13.8699162006, 53.3360991478, 0.262490987778, 54.1704509258, 0.0450870990753, 0.170602083206, 0.174363136292
varmatmul_sparse_func2, 2000, 2000, 0.04, ratio_based, 0.968055009842, 0.442853927612, 0.0459380149841, 19.1749551296, 70.8011841774, 0.258951187134, 54.2035899162, 0.0455470085144, 0.205501079559, 0.210251092911
