function_type, m, n, sparsity, sparsity_pattern, generation_time, TF_setup, tacotensor_init, tacotensor_insert, B_pack, c_pack, t_compile, t_assemble, t_compute, TF_setup2, tacotensor_init2, tacotensor_insert2, B_pack2, c_pack2, t_compile2, t_assemble2, t_compute2, format, computation_time, computation_time2, memory_usage
tf_sparse_matmul_func5, 500, 500, 0.06, ratio_based, 0.0842690467834, , , , , , , , , , , , , , , , , -1, 0.00985097885132, 0.0103659629822, 244000
tf_sparse_matmul_func5, 700, 700, 0.06, ratio_based, 0.182979822159, , , , , , , , , , , , , , , , , -1, 0.0149590969086, 0.0105829238892, 476000
tf_sparse_matmul_func5, 800, 800, 0.06, ratio_based, 0.222701072693, , , , , , , , , , , , , , , , , -1, 0.0172529220581, 0.0106470584869, 620800
tf_sparse_matmul_func5, 900, 900, 0.06, ratio_based, 0.292082071304, , , , , , , , , , , , , , , , , -1, 0.0215799808502, 0.0107159614563, 784800
tf_sparse_matmul_func5, 1000, 1000, 0.06, ratio_based, 0.372910022736, , , , , , , , , , , , , , , , , -1, 0.0231928825378, 0.0106790065765, 968000
tf_sparse_matmul_func5, 1200, 1200, 0.06, ratio_based, 0.569072961807, , , , , , , , , , , , , , , , , -1, 0.036318063736, 0.0112569332123, 1392000
tf_sparse_matmul_func5, 1400, 1400, 0.06, ratio_based, 0.750936031342, , , , , , , , , , , , , , , , , -1, 0.0437259674072, 0.0118360519409, 1892800
tf_sparse_matmul_func5, 1600, 1600, 0.06, ratio_based, 0.881693840027, , , , , , , , , , , , , , , , , -1, 0.0527400970459, 0.0127260684967, 2470400
tf_sparse_matmul_func5, 1800, 1800, 0.06, ratio_based, 1.21511697769, , , , , , , , , , , , , , , , , -1, 0.0719549655914, 0.0132710933685, 3124800
tf_sparse_matmul_func5, 2000, 2000, 0.06, ratio_based, 1.48540902138, , , , , , , , , , , , , , , , , -1, 0.0850789546967, 0.01389503479, 3856000
tf_sparse_matmul_func5, 2400, 2400, 0.06, ratio_based, 2.12034893036, , , , , , , , , , , , , , , , , -1, 0.113751888275, 0.0154800415039, 5548800
tf_sparse_matmul_func5, 2800, 2800, 0.06, ratio_based, 2.88815903664, , , , , , , , , , , , , , , , , -1, 0.153372049332, 0.0161209106445, 7548800
tf_sparse_matmul_func5, 3200, 3200, 0.06, ratio_based, 3.76227021217, , , , , , , , , , , , , , , , , -1, 0.198261976242, 0.0178208351135, 9856000
tf_sparse_matmul_func5, 3600, 3600, 0.06, ratio_based, 4.71772694588, , , , , , , , , , , , , , , , , -1, 0.264981985092, 0.0215220451355, 12470400
tf_sparse_matmul_func5, 4000, 4000, 0.06, ratio_based, 5.85069799423, , , , , , , , , , , , , , , , , -1, 0.306158065796, 0.0217938423157, 15392000
tf_sparse_matmul_func5, 4800, 4800, 0.06, ratio_based, 8.26119685173, , , , , , , , , , , , , , , , , -1, 0.464671134949, 0.0268909931183, 22156800
tf_sparse_matmul_func5, 5600, 5600, 0.06, ratio_based, 11.3551800251, , , , , , , , , , , , , , , , , -1, 0.593798875809, 0.0426251888275, 30150400
tf_sparse_matmul_func5, 6400, 6400, 0.06, ratio_based, 14.8358809948, , , , , , , , , , , , , , , , , -1, 0.849811077118, 0.0454759597778, 39372800
tf_sparse_matmul_func5, 7200, 7000, 0.06, ratio_based, 16.6739919186, , , , , , , , , , , , , , , , , -1, 0.94849395752, 0.0538930892944, 48440000
tf_sparse_matmul_func5, 8000, 8000, 0.06, ratio_based, 23.2996389866, , , , , , , , , , , , , , , , , -1, 1.27100896835, 0.0750620365143, 61504000
tf_sparse_matmul_func5, 8800, 8800, 0.06, ratio_based, 28.0400280952, , , , , , , , , , , , , , , , , -1, 1.60217499733, 0.0888328552246, 74412800
tf_sparse_matmul_func5, 9600, 9600, 0.06, ratio_based, 31.559869051, , , , , , , , , , , , , , , , , -1, 1.73408412933, 0.104563951492, 88550400
tf_sparse_matmul_func5, 10400, 10400, 0.06, ratio_based, 37.7527439594, , , , , , , , , , , , , , , , , -1, 2.14745807648, 0.121357917786, 103916800
tf_sparse_matmul_func5, 11200, 11200, 0.06, ratio_based, 45.2243640423, , , , , , , , , , , , , , , , , -1, 2.35935091972, 0.140412092209, 120512000
tf_sparse_matmul_func5, 12000, 12000, 0.06, ratio_based, 50.0747890472, , , , , , , , , , , , , , , , , -1, 2.86753201485, 0.161269903183, 138336000
tf_sparse_matmul_func5, 12800, 12800, 0.06, ratio_based, 61.2722380161, , , , , , , , , , , , , , , , , -1, 3.25892686844, 0.184243202209, 157388800
tf_sparse_matmul_func5, 13600, 13600, 0.06, ratio_based, 62.4095439911, , , , , , , , , , , , , , , , , -1, 3.4650850296, 0.213538885117, 177670400
tf_sparse_matmul_func5, 14400, 14400, 0.06, ratio_based, 72.6691889763, , , , , , , , , , , , , , , , , -1, 4.10060620308, 0.241372823715, 199180800
tf_sparse_matmul_func5, 15200, 15200, 0.06, ratio_based, 87.4345569611, , , , , , , , , , , , , , , , , -1, 4.31275701523, 0.270477056503, 221920000
tf_sparse_matmul_func5, 16000, 16000, 0.06, ratio_based, 93.6551249027, , , , , , , , , , , , , , , , , -1, 5.07330608368, 0.300318956375, 245888000
split_func2, 500, 500, 0.06, ratio_based, 0.0880739688873, 0.0, 0.0666046142578, 1.75132083893, 6.46757221222, 0.0712671279907, 0.0, 0.0, 0.0, 0.0120649337769, 0.0606579780579, 0.00568008422852, 0.0, 0.0, 52.8352003098, 0.0329961776733, 0.0301127433777, 1, 0.0262548923492, 0.0643601417542, 186016
split_func2, 700, 700, 0.06, ratio_based, 0.174409866333, 0.0, 0.0664520263672, 3.39177083969, 12.6391692162, 0.0936527252197, 0.0, 0.0, 0.0, 0.0101079940796, 0.0429668426514, 0.00494909286499, 0.0, 0.0, 52.8623838425, 0.0348839759827, 0.0488977432251, 1, 0.0394060611725, 0.0648159980774, 361216
split_func2, 800, 800, 0.06, ratio_based, 0.220193862915, 0.0, 0.0552778244019, 4.62796068192, 16.3557858467, 0.105477809906, 0.0, 0.0, 0.0, 0.0104560852051, 0.0434560775757, 0.00525903701782, 0.0, 0.0, 53.2502961159, 0.036810874939, 0.0745749473572, 1, 0.0464990139008, 0.0652530193329, 470416
split_func2, 900, 900, 0.06, ratio_based, 0.275296926498, 0.0, 0.0572981834412, 5.70988082886, 20.7941679955, 0.117188930511, 0.0, 0.0, 0.0, 0.0118131637573, 0.0580339431763, 0.00570917129517, 0.0, 0.0, 54.7415785789, 0.0402007102966, 0.0717258453369, 1, 0.0562319755554, 0.0669429302216, 594016
split_func2, 1000, 1000, 0.06, ratio_based, 0.379683017731, 0.0, 0.0978598594666, 6.91541385651, 25.9138007164, 0.131865978241, 0.0, 0.0, 0.0, 0.0121421813965, 0.0416769981384, 0.00523281097412, 0.0, 0.0, 53.4708280563, 0.0376052856445, 0.0830969810486, 1, 0.0684640407562, 0.065612077713, 732016
split_func2, 1200, 1200, 0.06, ratio_based, 0.515767812729, 0.0, 0.0661458969116, 10.1389989853, 37.4331417084, 0.154668807983, 0.0, 0.0, 0.0, 0.0128679275513, 0.0432748794556, 0.00540781021118, 0.0, 0.0, 54.2436265945, 0.0451602935791, 0.114789962769, 1, 0.0883021354675, 0.0667500495911, 1051216
split_func2, 1400, 1400, 0.06, ratio_based, 0.709711074829, 0.0, 0.0561060905457, 13.4836931229, 51.4620299339, 0.178597927094, 0.0, 0.0, 0.0, 0.0118093490601, 0.0429611206055, 0.00562191009521, 0.0, 0.0, 53.5446500778, 0.0397710800171, 0.146960258484, 1, 0.115243911743, 0.0660400390625, 1428016
split_func2, 1600, 1600, 0.06, ratio_based, 0.945098876953, 0.0, 0.0562791824341, 18.4432077408, 67.2549262047, 0.204516887665, 0.0, 0.0, 0.0, 0.0116744041443, 0.0431361198425, 0.00532007217407, 0.0, 0.0, 53.4427771568, 0.0368719100952, 0.187868118286, 1, 0.152774095535, 0.0661430358887, 1862416
split_func2, 1800, 1800, 0.06, ratio_based, 1.210064888, 0.0, 0.0572237968445, 22.5261011124, 85.4150390625, 0.229104995728, 0.0, 0.0, 0.0, 0.010790348053, 0.0603017807007, 0.00608777999878, 0.0, 0.0, 54.4121689796, 0.0449032783508, 0.236596107483, 1, 0.183760166168, 0.0672488212585, 2354416
