function_type, m, n, sparsity, sparsity_pattern, generation_time, TF_setup, tacotensor_init, tacotensor_insert, B_pack, c_pack, t_compile, t_assemble, t_compute, computation_time
tf_noop_func100, 2000, 2000, 0.01, ratio_based, 0.0685210227966, , , , , , , , , 5.72609496117
tf_noop_func100, 2000, 2000, 0.03, ratio_based, 0.0702111721039, , , , , , , , , 5.72133684158
tf_noop_func100, 2000, 2000, 0.05, ratio_based, 0.0715138912201, , , , , , , , , 5.73030614853
my_noop_func, 2000, 2000, 0.01, ratio_based, 0.0687868595123, , , , , , , , , 0.0941660404205
my_noop_func, 2000, 2000, 0.03, ratio_based, 0.0700719356537, , , , , , , , , 0.0936040878296
my_noop_func, 2000, 2000, 0.05, ratio_based, 0.0714130401611, , , , , , , , , 0.0939970016479
tf_noop_func, 2000, 2000, 0.01, ratio_based, 0.0685629844666, , , , , , , , , 0.0681548118591
tf_noop_func, 2000, 2000, 0.03, ratio_based, 0.0701899528503, , , , , , , , , 0.0679531097412
tf_noop_func, 2000, 2000, 0.05, ratio_based, 0.0717880725861, , , , , , , , , 0.0691249370575
my_noop_func100, 2000, 2000, 0.01, ratio_based, 0.0689771175385, , , , , , , , , 7.92824101448
my_noop_func100, 2000, 2000, 0.03, ratio_based, 0.0701589584351, , , , , , , , , 7.91145610809
my_noop_func100, 2000, 2000, 0.05, ratio_based, 0.0718200206757, , , , , , , , , 7.89572715759
my_noop_func10, 2000, 2000, 0.01, ratio_based, 0.0687160491943, , , , , , , , , 0.792075872421
my_noop_func10, 2000, 2000, 0.03, ratio_based, 0.070118188858, , , , , , , , , 0.79057598114
my_noop_func10, 2000, 2000, 0.05, ratio_based, 0.0714960098267, , , , , , , , , 0.78718996048
tf_noop_func10, 2000, 2000, 0.01, ratio_based, 0.0685510635376, , , , , , , , , 0.572839975357
tf_noop_func10, 2000, 2000, 0.03, ratio_based, 0.0705389976501, , , , , , , , , 0.569373130798
tf_noop_func10, 2000, 2000, 0.05, ratio_based, 0.0715568065643, , , , , , , , , 0.571794986725
