function_type, m, n, sparsity, sparsity_pattern, generation_time, TF_setup, tacotensor_init, tacotensor_insert, B_pack, c_pack, t_compile, t_assemble, t_compute, computation_time
tf_noop_func30, 2000, 2000, 0.01, ratio_based, 0.0686421394348, , , , , , , , , 1.69710898399
tf_noop_func30, 2000, 2000, 0.03, ratio_based, 0.0702128410339, , , , , , , , , 1.69569516182
tf_noop_func30, 2000, 2000, 0.05, ratio_based, 0.071487903595, , , , , , , , , 1.69352507591
tf_noop_func20, 2000, 2000, 0.01, ratio_based, 0.0686078071594, , , , , , , , , 1.13063502312
tf_noop_func20, 2000, 2000, 0.03, ratio_based, 0.0701150894165, , , , , , , , , 1.13389992714
tf_noop_func20, 2000, 2000, 0.05, ratio_based, 0.0715010166168, , , , , , , , , 1.13195085526
my_noop_func20, 2000, 2000, 0.01, ratio_based, 0.0684959888458, , , , , , , , , 1.56395196915
my_noop_func20, 2000, 2000, 0.03, ratio_based, 0.0702829360962, , , , , , , , , 1.56642222404
my_noop_func20, 2000, 2000, 0.05, ratio_based, 0.0715200901031, , , , , , , , , 1.57375097275
my_noop_func10, 2000, 2000, 0.01, ratio_based, 0.0689890384674, , , , , , , , , 0.801549911499
my_noop_func10, 2000, 2000, 0.03, ratio_based, 0.070326089859, , , , , , , , , 0.794270038605
my_noop_func10, 2000, 2000, 0.05, ratio_based, 0.0716202259064, , , , , , , , , 0.790155887604
my_noop_func, 2000, 2000, 0.01, ratio_based, 0.0686089992523, , , , , , , , , 0.0948770046234
my_noop_func, 2000, 2000, 0.03, ratio_based, 0.0702488422394, , , , , , , , , 0.0933749675751
my_noop_func, 2000, 2000, 0.05, ratio_based, 0.071494102478, , , , , , , , , 0.0942199230194
tf_noop_func10, 2000, 2000, 0.01, ratio_based, 0.0687341690063, , , , , , , , , 0.569756984711
tf_noop_func10, 2000, 2000, 0.03, ratio_based, 0.0702359676361, , , , , , , , , 0.573061943054
tf_noop_func10, 2000, 2000, 0.05, ratio_based, 0.071583032608, , , , , , , , , 0.569936990738
my_noop_func30, 2000, 2000, 0.01, ratio_based, 0.0686559677124, , , , , , , , , 2.34853696823
my_noop_func30, 2000, 2000, 0.03, ratio_based, 0.0705170631409, , , , , , , , , 2.34210395813
my_noop_func30, 2000, 2000, 0.05, ratio_based, 0.0716319084167, , , , , , , , , 2.34575390816
tf_noop_func, 2000, 2000, 0.01, ratio_based, 0.0684878826141, , , , , , , , , 0.0683000087738
tf_noop_func, 2000, 2000, 0.03, ratio_based, 0.0701479911804, , , , , , , , , 0.0684380531311
tf_noop_func, 2000, 2000, 0.05, ratio_based, 0.0718729496002, , , , , , , , , 0.0686979293823
