function_type, m, n, sparsity, sparsity_pattern, generation_time, TF_setup, tacotensor_init, tacotensor_insert, B_pack, c_pack, t_compile, t_assemble, t_compute, computation_time
tf_noop_load_sparse_tensor_func2, 500, 500, 0.01, ratio_based, 0.0147089958191, , , , , , , , , 0.0143990516663
tf_noop_load_sparse_tensor_func2, 500, 500, 0.02, ratio_based, 0.0274198055267, , , , , , , , , 0.0144860744476
tf_noop_load_sparse_tensor_func2, 500, 500, 0.03, ratio_based, 0.0428590774536, , , , , , , , , 0.0157358646393
tf_noop_load_sparse_tensor_func2, 500, 500, 0.04, ratio_based, 0.0557088851929, , , , , , , , , 0.0176432132721
tf_noop_load_sparse_tensor_func2, 500, 500, 0.05, ratio_based, 0.0730459690094, , , , , , , , , 0.0173668861389
tf_noop_load_sparse_tensor_func2, 500, 500, 0.06, ratio_based, 0.0868630409241, , , , , , , , , 0.0181999206543
tf_noop_load_sparse_tensor_func2, 500, 500, 0.07, ratio_based, 0.103106021881, , , , , , , , , 0.0191159248352
tf_noop_load_sparse_tensor_func2, 1000, 1000, 0.01, ratio_based, 0.0576260089874, , , , , , , , , 0.0170369148254
tf_noop_load_sparse_tensor_func2, 1000, 1000, 0.02, ratio_based, 0.132850885391, , , , , , , , , 0.0193219184875
tf_noop_load_sparse_tensor_func2, 1000, 1000, 0.03, ratio_based, 0.170655012131, , , , , , , , , 0.0230181217194
tf_noop_load_sparse_tensor_func2, 1000, 1000, 0.04, ratio_based, 0.232982873917, , , , , , , , , 0.0268959999084
tf_noop_load_sparse_tensor_func2, 1000, 1000, 0.05, ratio_based, 0.28746509552, , , , , , , , , 0.0286519527435
tf_noop_load_sparse_tensor_func2, 1000, 1000, 0.06, ratio_based, 0.373418092728, , , , , , , , , 0.0328888893127
tf_noop_load_sparse_tensor_func2, 1000, 1000, 0.07, ratio_based, 0.456456899643, , , , , , , , , 0.0347940921783
tf_noop_load_sparse_tensor_func2, 2000, 2000, 0.01, ratio_based, 0.226312160492, , , , , , , , , 0.0255079269409
tf_noop_load_sparse_tensor_func2, 2000, 2000, 0.02, ratio_based, 0.47087597847, , , , , , , , , 0.0375690460205
tf_noop_load_sparse_tensor_func2, 2000, 2000, 0.03, ratio_based, 0.706089019775, , , , , , , , , 0.0511209964752
tf_noop_load_sparse_tensor_func2, 2000, 2000, 0.04, ratio_based, 0.995470046997, , , , , , , , , 0.0630660057068
tf_noop_load_sparse_tensor_func2, 2000, 2000, 0.05, ratio_based, 1.21685504913, , , , , , , , , 0.0770881175995
tf_noop_load_sparse_tensor_func2, 2000, 2000, 0.06, ratio_based, 1.48954701424, , , , , , , , , 0.0938608646393
tf_noop_load_sparse_tensor_func2, 2000, 2000, 0.07, ratio_based, 1.72435879707, , , , , , , , , 0.107929229736
tf_sparse_matmul_func4, 500, 500, 0.01, ratio_based, 0.0151472091675, , , , , , , , , 0.0134599208832
tf_sparse_matmul_func4, 500, 500, 0.02, ratio_based, 0.0295288562775, , , , , , , , , 0.0136079788208
tf_sparse_matmul_func4, 500, 500, 0.03, ratio_based, 0.0451641082764, , , , , , , , , 0.0151000022888
tf_sparse_matmul_func4, 500, 500, 0.04, ratio_based, 0.0596308708191, , , , , , , , , 0.015851020813
tf_sparse_matmul_func4, 500, 500, 0.05, ratio_based, 0.0728950500488, , , , , , , , , 0.0166809558868
tf_sparse_matmul_func4, 500, 500, 0.06, ratio_based, 0.0880119800568, , , , , , , , , 0.0172181129456
tf_sparse_matmul_func4, 500, 500, 0.07, ratio_based, 0.104399204254, , , , , , , , , 0.0192258358002
