function_type, m, n, sparsity, sparsity_pattern, generation_time, TF_setup, tacotensor_init, tacotensor_insert, B_pack, c_pack, t_compile, t_assemble, t_compute, computation_time
tf_sparse_matmul_func4, 100, 100, 0.01, ratio_based, 1.03482604027, , , , , , , , , 0.0158507823944
tf_sparse_matmul_func4, 100, 100, 0.02, ratio_based, 0.831154108047, , , , , , , , , 0.015918970108
tf_sparse_matmul_func4, 100, 100, 0.03, ratio_based, 1.1688349247, , , , , , , , , 0.0170221328735
tf_sparse_matmul_func4, 100, 100, 0.04, ratio_based, 1.11279296875, , , , , , , , , 0.0158770084381
tf_sparse_matmul_func4, 100, 100, 0.05, ratio_based, 0.970138072968, , , , , , , , , 0.0163669586182
tf_sparse_matmul_func4, 100, 100, 0.06, ratio_based, 1.10012197495, , , , , , , , , 0.0168528556824
tf_sparse_matmul_func4, 100, 100, 0.07, ratio_based, 0.777520895004, , , , , , , , , 0.0156691074371
tf_sparse_matmul_func, 100, 100, 0.01, ratio_based, 0.820338010788, , , , , , , , , 0.0733308792114
tf_sparse_matmul_func, 100, 100, 0.02, ratio_based, 0.985045909882, , , , , , , , , 0.0733511447906
tf_sparse_matmul_func, 100, 100, 0.03, ratio_based, 0.901907920837, , , , , , , , , 0.0732049942017
tf_sparse_matmul_func, 100, 100, 0.04, ratio_based, 0.808474063873, , , , , , , , , 0.07563996315
tf_sparse_matmul_func, 100, 100, 0.05, ratio_based, 0.946883916855, , , , , , , , , 0.0730950832367
tf_sparse_matmul_func, 100, 100, 0.06, ratio_based, 0.91258597374, , , , , , , , , 0.075003862381
tf_sparse_matmul_func, 100, 100, 0.07, ratio_based, 1.39335799217, , , , , , , , , 0.072643995285
tf_sparse_matmul_func3, 100, 100, 0.01, ratio_based, 1.00592708588, , , , , , , , , 0.0725250244141
tf_sparse_matmul_func3, 100, 100, 0.02, ratio_based, 1.44463586807, , , , , , , , , 0.0731480121613
tf_sparse_matmul_func3, 100, 100, 0.03, ratio_based, 0.826189994812, , , , , , , , , 0.0738210678101
tf_sparse_matmul_func3, 100, 100, 0.04, ratio_based, 0.892146110535, , , , , , , , , 0.0733270645142
tf_sparse_matmul_func3, 100, 100, 0.05, ratio_based, 0.938595056534, , , , , , , , , 0.0735991001129
tf_sparse_matmul_func3, 100, 100, 0.06, ratio_based, 0.746273040771, , , , , , , , , 0.0739288330078
tf_sparse_matmul_func3, 100, 100, 0.07, ratio_based, 0.916881084442, , , , , , , , , 0.0732359886169
tf_sparse_matmul_func2, 100, 100, 0.01, ratio_based, 1.14542508125, , , , , , , , , 0.0743319988251
tf_sparse_matmul_func2, 100, 100, 0.02, ratio_based, 0.922111034393, , , , , , , , , 0.0745530128479
tf_sparse_matmul_func2, 100, 100, 0.03, ratio_based, 0.813344955444, , , , , , , , , 0.0736739635468
tf_sparse_matmul_func2, 100, 100, 0.04, ratio_based, 0.990624904633, , , , , , , , , 0.0732901096344
tf_sparse_matmul_func2, 100, 100, 0.05, ratio_based, 0.853770017624, , , , , , , , , 0.0728039741516
tf_sparse_matmul_func2, 100, 100, 0.06, ratio_based, 0.969940185547, , , , , , , , , 0.0733218193054
tf_sparse_matmul_func2, 100, 100, 0.07, ratio_based, 1.06427621841, , , , , , , , , 0.0734989643097
