function_type, m, n, sparsity, sparsity_pattern, generation_time, TF_setup, tacotensor_init, tacotensor_insert, B_pack, c_pack, t_compile, t_assemble, t_compute, computation_time
tf_sparse_matmul_func4, 100, 100, 0.01, ratio_based, 0.842790842056, , , , , , , , , 0.0161240100861
tf_sparse_matmul_func4, 100, 100, 0.02, ratio_based, 0.952734947205, , , , , , , , , 0.01606798172
tf_sparse_matmul_func4, 100, 100, 0.03, ratio_based, 0.895533084869, , , , , , , , , 0.0160799026489
tf_sparse_matmul_func4, 100, 100, 0.04, ratio_based, 0.769762992859, , , , , , , , , 0.015928030014
tf_sparse_matmul_func4, 100, 100, 0.05, ratio_based, 0.823765993118, , , , , , , , , 0.0157670974731
tf_sparse_matmul_func4, 100, 100, 0.06, ratio_based, 0.905856847763, , , , , , , , , 0.0161240100861
tf_sparse_matmul_func4, 100, 100, 0.07, ratio_based, 0.837772130966, , , , , , , , , 0.0159239768982
tf_sparse_matmul_func, 100, 100, 0.01, ratio_based, 0.916214942932, , , , , , , , , 0.0729689598083
tf_sparse_matmul_func, 100, 100, 0.02, ratio_based, 0.931584835052, , , , , , , , , 0.0745949745178
tf_sparse_matmul_func, 100, 100, 0.03, ratio_based, 0.937721014023, , , , , , , , , 0.0731320381165
tf_sparse_matmul_func, 100, 100, 0.04, ratio_based, 0.836083889008, , , , , , , , , 0.0735590457916
tf_sparse_matmul_func, 100, 100, 0.05, ratio_based, 0.818158864975, , , , , , , , , 0.0731310844421
tf_sparse_matmul_func, 100, 100, 0.06, ratio_based, 0.903357982635, , , , , , , , , 0.0737688541412
tf_sparse_matmul_func, 100, 100, 0.07, ratio_based, 1.10288715363, , , , , , , , , 0.0727288722992
tf_sparse_matmul_func3, 100, 100, 0.01, ratio_based, 0.879221916199, , , , , , , , , 0.0725090503693
tf_sparse_matmul_func3, 100, 100, 0.02, ratio_based, 0.84608912468, , , , , , , , , 0.0735988616943
tf_sparse_matmul_func3, 100, 100, 0.03, ratio_based, 0.719319820404, , , , , , , , , 0.0742900371552
tf_sparse_matmul_func3, 100, 100, 0.04, ratio_based, 1.46603512764, , , , , , , , , 0.0735840797424
tf_sparse_matmul_func3, 100, 100, 0.05, ratio_based, 1.00475287437, , , , , , , , , 0.0741131305695
tf_sparse_matmul_func3, 100, 100, 0.06, ratio_based, 1.01121783257, , , , , , , , , 0.0731201171875
tf_sparse_matmul_func3, 100, 100, 0.07, ratio_based, 0.796809911728, , , , , , , , , 0.0735120773315
tf_sparse_matmul_func2, 100, 100, 0.01, ratio_based, 0.912467002869, , , , , , , , , 0.0723340511322
tf_sparse_matmul_func2, 100, 100, 0.02, ratio_based, 1.03499698639, , , , , , , , , 0.0750689506531
tf_sparse_matmul_func2, 100, 100, 0.03, ratio_based, 0.939198970795, , , , , , , , , 0.0750951766968
tf_sparse_matmul_func2, 100, 100, 0.04, ratio_based, 0.97088599205, , , , , , , , , 0.0752100944519
tf_sparse_matmul_func2, 100, 100, 0.05, ratio_based, 0.901210069656, , , , , , , , , 0.0728859901428
tf_sparse_matmul_func2, 100, 100, 0.06, ratio_based, 0.870763063431, , , , , , , , , 0.0749440193176
tf_sparse_matmul_func2, 100, 100, 0.07, ratio_based, 1.07525420189, , , , , , , , , 0.0735318660736
