function_type, m, n, sparsity, sparsity_pattern, generation_time, TF_setup, tacotensor_init, tacotensor_insert, B_pack, c_pack, t_compile, t_assemble, t_compute, computation_time
tf_noop_load_sparse_tensor_func2, 500, 500, 0.01, ratio_based, 0.0154609680176, , , , , , , , , 0.0139598846436
tf_noop_load_sparse_tensor_func2, 500, 500, 0.02, ratio_based, 0.0275521278381, , , , , , , , , 0.0151169300079
tf_noop_load_sparse_tensor_func2, 500, 500, 0.03, ratio_based, 0.0446059703827, , , , , , , , , 0.0162751674652
tf_noop_load_sparse_tensor_func2, 500, 500, 0.04, ratio_based, 0.0574049949646, , , , , , , , , 0.0171899795532
tf_noop_load_sparse_tensor_func2, 500, 500, 0.05, ratio_based, 0.0691699981689, , , , , , , , , 0.0173799991608
tf_noop_load_sparse_tensor_func2, 500, 500, 0.06, ratio_based, 0.0885479450226, , , , , , , , , 0.0191102027893
tf_noop_load_sparse_tensor_func2, 500, 500, 0.07, ratio_based, 0.106260061264, , , , , , , , , 0.0201900005341
tf_noop_load_sparse_tensor_func2, 1000, 1000, 0.01, ratio_based, 0.0581669807434, , , , , , , , , 0.0168719291687
tf_noop_load_sparse_tensor_func2, 1000, 1000, 0.02, ratio_based, 0.111404895782, , , , , , , , , 0.0211861133575
tf_noop_load_sparse_tensor_func2, 1000, 1000, 0.03, ratio_based, 0.177989959717, , , , , , , , , 0.0233280658722
tf_noop_load_sparse_tensor_func2, 1000, 1000, 0.04, ratio_based, 0.227378845215, , , , , , , , , 0.027782201767
tf_noop_load_sparse_tensor_func2, 1000, 1000, 0.05, ratio_based, 0.297585964203, , , , , , , , , 0.0302472114563
tf_noop_load_sparse_tensor_func2, 1000, 1000, 0.06, ratio_based, 0.369709968567, , , , , , , , , 0.0342769622803
tf_noop_load_sparse_tensor_func2, 1000, 1000, 0.07, ratio_based, 0.423609018326, , , , , , , , , 0.0364379882812
tf_noop_load_sparse_tensor_func2, 2000, 2000, 0.01, ratio_based, 0.209882974625, , , , , , , , , 0.0271570682526
tf_noop_load_sparse_tensor_func2, 2000, 2000, 0.02, ratio_based, 0.508671998978, , , , , , , , , 0.0410261154175
tf_noop_load_sparse_tensor_func2, 2000, 2000, 0.03, ratio_based, 0.732052087784, , , , , , , , , 0.0520768165588
tf_noop_load_sparse_tensor_func2, 2000, 2000, 0.04, ratio_based, 0.998342990875, , , , , , , , , 0.0687820911407
tf_noop_load_sparse_tensor_func2, 2000, 2000, 0.05, ratio_based, 1.20649504662, , , , , , , , , 0.0785098075867
tf_noop_load_sparse_tensor_func2, 2000, 2000, 0.06, ratio_based, 1.41548299789, , , , , , , , , 0.0907781124115
tf_noop_load_sparse_tensor_func2, 2000, 2000, 0.07, ratio_based, 1.6089348793, , , , , , , , , 0.103150129318
tf_noop_load_sparse_tensor_func2, 4000, 4000, 0.01, ratio_based, 0.876704931259, , , , , , , , , 0.0646510124207
tf_noop_load_sparse_tensor_func2, 4000, 4000, 0.02, ratio_based, 1.80060195923, , , , , , , , , 0.116194009781
tf_noop_load_sparse_tensor_func2, 4000, 4000, 0.03, ratio_based, 2.83257102966, , , , , , , , , 0.174450874329
tf_noop_load_sparse_tensor_func2, 4000, 4000, 0.04, ratio_based, 4.01773381233, , , , , , , , , 0.218216180801
tf_noop_load_sparse_tensor_func2, 4000, 4000, 0.05, ratio_based, 4.75437307358, , , , , , , , , 0.297380924225
tf_noop_load_sparse_tensor_func2, 4000, 4000, 0.06, ratio_based, 5.71604990959, , , , , , , , , 0.317158937454
tf_noop_load_sparse_tensor_func2, 4000, 4000, 0.07, ratio_based, 6.55972313881, , , , , , , , , 0.368109941483
tf_sparse_matmul_func4, 500, 500, 0.01, ratio_based, 0.0150339603424, , , , , , , , , 0.0138828754425
tf_sparse_matmul_func4, 500, 500, 0.02, ratio_based, 0.029363155365, , , , , , , , , 0.0147459506989
tf_sparse_matmul_func4, 500, 500, 0.03, ratio_based, 0.0453069210052, , , , , , , , , 0.0144009590149
tf_sparse_matmul_func4, 500, 500, 0.04, ratio_based, 0.060781955719, , , , , , , , , 0.016065120697
tf_sparse_matmul_func4, 500, 500, 0.05, ratio_based, 0.0731189250946, , , , , , , , , 0.0169200897217
tf_sparse_matmul_func4, 500, 500, 0.06, ratio_based, 0.0868811607361, , , , , , , , , 0.0175869464874
tf_sparse_matmul_func4, 500, 500, 0.07, ratio_based, 0.102784156799, , , , , , , , , 0.018483877182
tf_sparse_matmul_func4, 1000, 1000, 0.01, ratio_based, 0.0572330951691, , , , , , , , , 0.0160717964172
tf_sparse_matmul_func4, 1000, 1000, 0.02, ratio_based, 0.111949920654, , , , , , , , , 0.0191061496735
tf_sparse_matmul_func4, 1000, 1000, 0.03, ratio_based, 0.169894218445, , , , , , , , , 0.0231227874756
tf_sparse_matmul_func4, 1000, 1000, 0.04, ratio_based, 0.220886945724, , , , , , , , , 0.0256249904633
tf_sparse_matmul_func4, 1000, 1000, 0.05, ratio_based, 0.268352031708, , , , , , , , , 0.0292770862579
