function_type, m, n, sparsity, sparsity_pattern, generation_time, TF_setup, tacotensor_init, tacotensor_insert, B_pack, c_pack, t_compile, t_assemble, t_compute, TF_setup2, tacotensor_init2, tacotensor_insert2, B_pack2, c_pack2, t_compile2, t_assemble2, t_compute2, format, computation_time, computation_time2, memory_usage
tf_sparse_matmul_func5, 1000, 1000, 0.01, ratio_based, 0.0583579540253, , , , , , , , , , , , , , , , , -1, 0.00866794586182, 0.0104532241821, 168000
tf_sparse_matmul_func5, 1000, 1000, 0.02, ratio_based, 0.111140012741, , , , , , , , , , , , , , , , , -1, 0.0114769935608, 0.0103950500488, 328000
tf_sparse_matmul_func5, 1000, 1000, 0.03, ratio_based, 0.173665046692, , , , , , , , , , , , , , , , , -1, 0.0149400234222, 0.0105948448181, 488000
tf_sparse_matmul_func5, 1000, 1000, 0.04, ratio_based, 0.235888004303, , , , , , , , , , , , , , , , , -1, 0.018875837326, 0.0110130310059, 648000
tf_sparse_matmul_func5, 1000, 1000, 0.05, ratio_based, 0.283632993698, , , , , , , , , , , , , , , , , -1, 0.0217730998993, 0.0108859539032, 808000
tf_sparse_matmul_func5, 1000, 1000, 0.06, ratio_based, 0.399255037308, , , , , , , , , , , , , , , , , -1, 0.024906873703, 0.0109241008759, 968000
tf_sparse_matmul_func5, 1000, 1000, 0.07, ratio_based, 0.456299781799, , , , , , , , , , , , , , , , , -1, 0.0273652076721, 0.011157989502, 1128000
split_func2, 1000, 1000, 0.01, ratio_based, 0.0573599338531, 0.0, 0.0581021308899, 1.31747603416, 5.09058094025, 0.13089299202, 0.0, 0.0, 0.0, 0.0134949684143, 0.0420150756836, 0.00511598587036, 0.0, 0.0, 53.7529389858, 0.0440239906311, 0.0301082134247, 1, 0.0234858989716, 0.065603017807, 132016
split_func2, 1000, 1000, 0.02, ratio_based, 0.111608982086, 0.0, 0.0568051338196, 2.478069067, 9.10542082787, 0.130367040634, 0.0, 0.0, 0.0, 0.0109081268311, 0.0428159236908, 0.00581407546997, 0.0, 0.0, 53.6610498428, 0.044764995575, 0.0448110103607, 1, 0.0319130420685, 0.0659499168396, 252016
split_func2, 1000, 1000, 0.03, ratio_based, 0.183343172073, 0.0, 0.0785291194916, 3.51992678642, 13.2599010468, 0.131211996078, 0.0, 0.0, 0.0, 0.0123751163483, 0.0626740455627, 0.00573110580444, 0.0, 0.0, 53.7579030991, 0.0432178974152, 0.0531461238861, 1, 0.0413088798523, 0.0662341117859, 372016
split_func2, 1000, 1000, 0.04, ratio_based, 0.22965502739, 0.0, 0.0559828281403, 4.80464911461, 17.463550806, 0.134963035583, 0.0, 0.0, 0.0, 0.014454126358, 0.0465440750122, 0.00569891929626, 0.0, 0.0, 54.4958870411, 0.0453419685364, 0.0656790733337, 1, 0.048709154129, 0.0670309066772, 492016
split_func2, 1000, 1000, 0.05, ratio_based, 0.305919885635, 0.0, 0.0575349330902, 5.87749814987, 21.4966959953, 0.130753993988, 0.0, 0.0, 0.0, 0.0133690834045, 0.0725660324097, 0.00628089904785, 0.0, 0.0, 53.4841551781, 0.0442941188812, 0.0747308731079, 1, 0.0590550899506, 0.0912590026855, 612016
split_func2, 1000, 1000, 0.06, ratio_based, 0.38046002388, 0.0, 0.0568969249725, 6.93617892265, 25.8603789806, 0.132224082947, 0.0, 0.0, 0.0, 0.0131940841675, 0.0630598068237, 0.00573801994324, 0.0, 0.0, 54.1992900372, 0.0437729358673, 0.0879249572754, 1, 0.0677258968353, 0.0669369697571, 732016
