function_type, m, n, sparsity, sparsity_pattern, generation_time, TF_setup, tacotensor_init, tacotensor_insert, B_pack, c_pack, t_compile, t_assemble, t_compute, computation_time
tf_sparse_matmul_func_bare, 50, 50, 0.01, ratio_based, 0.000179052352905, , , , , , , , , 0.0114281177521
tf_sparse_matmul_func_bare, 50, 50, 0.01, n_per_line, 0.000824928283691, , , , , , , , , 0.0115962028503
tf_sparse_matmul_func_bare, 50, 50, 0.03, ratio_based, 0.00018310546875, , , , , , , , , 0.0116238594055
tf_sparse_matmul_func_bare, 50, 50, 0.03, n_per_line, 0.000823974609375, , , , , , , , , 0.0115649700165
tf_sparse_matmul_func_bare, 50, 50, 0.05, ratio_based, 0.000239849090576, , , , , , , , , 0.0114917755127
tf_sparse_matmul_func_bare, 50, 50, 0.05, n_per_line, 0.000793933868408, , , , , , , , , 0.0115468502045
tf_sparse_matmul_func_bare, 50, 50, 0.1, ratio_based, 0.000185012817383, , , , , , , , , 0.0111739635468
tf_sparse_matmul_func_bare, 50, 50, 0.1, n_per_line, 0.000834941864014, , , , , , , , , 0.0114600658417
tf_sparse_matmul_func_bare, 50, 50, 0.15, ratio_based, 0.000186920166016, , , , , , , , , 0.0113341808319
tf_sparse_matmul_func_bare, 50, 50, 0.15, n_per_line, 0.000802040100098, , , , , , , , , 0.0114421844482
tf_sparse_matmul_func_bare, 50, 50, 0.2, ratio_based, 0.000185012817383, , , , , , , , , 0.0114800930023
tf_sparse_matmul_func_bare, 50, 50, 0.2, n_per_line, 0.000821113586426, , , , , , , , , 0.0110249519348
tf_sparse_matmul_func_bare, 50, 50, 0.3, ratio_based, 0.000186920166016, , , , , , , , , 0.0122821331024
tf_sparse_matmul_func_bare, 50, 50, 0.3, n_per_line, 0.00084114074707, , , , , , , , , 0.0116698741913
tf_sparse_matmul_func_bare, 50, 50, 0.5, ratio_based, 0.000190019607544, , , , , , , , , 0.0116176605225
tf_sparse_matmul_func_bare, 50, 50, 0.5, n_per_line, 0.000797986984253, , , , , , , , , 0.0115652084351
tf_sparse_matmul_func_bare, 50, 50, 0.75, ratio_based, 0.000185966491699, , , , , , , , , 0.011608839035
tf_sparse_matmul_func_bare, 50, 50, 0.75, n_per_line, 0.000827074050903, , , , , , , , , 0.0111248493195
tf_sparse_matmul_func_bare, 50, 50, 1.0, ratio_based, 0.000168800354004, , , , , , , , , 0.011666059494
tf_sparse_matmul_func_bare, 50, 50, 1.0, n_per_line, 0.000756025314331, , , , , , , , , 0.0116548538208
tf_sparse_matmul_func_bare, 100, 100, 0.01, ratio_based, 0.000288009643555, , , , , , , , , 0.011677980423
tf_sparse_matmul_func_bare, 100, 100, 0.01, n_per_line, 0.00151300430298, , , , , , , , , 0.0114078521729
tf_sparse_matmul_func_bare, 100, 100, 0.03, ratio_based, 0.00030517578125, , , , , , , , , 0.0113890171051
tf_sparse_matmul_func_bare, 100, 100, 0.03, n_per_line, 0.00153398513794, , , , , , , , , 0.0115802288055
tf_sparse_matmul_func_bare, 100, 100, 0.05, ratio_based, 0.000292062759399, , , , , , , , , 0.0115802288055
tf_sparse_matmul_func_bare, 100, 100, 0.05, n_per_line, 0.00153207778931, , , , , , , , , 0.0113861560822
tf_sparse_matmul_func_bare, 100, 100, 0.1, ratio_based, 0.000300168991089, , , , , , , , , 0.0122039318085
tf_sparse_matmul_func_bare, 100, 100, 0.1, n_per_line, 0.0015549659729, , , , , , , , , 0.0121128559113
tf_sparse_matmul_func_bare, 100, 100, 0.15, ratio_based, 0.000311136245728, , , , , , , , , 0.0116460323334
tf_sparse_matmul_func_bare, 100, 100, 0.15, n_per_line, 0.001629114151, , , , , , , , , 0.011519908905
tf_sparse_matmul_func_bare, 100, 100, 0.2, ratio_based, 0.000319004058838, , , , , , , , , 0.0116457939148
tf_sparse_matmul_func_bare, 100, 100, 0.2, n_per_line, 0.0015811920166, , , , , , , , , 0.0117218494415
tf_sparse_matmul_func_bare, 100, 100, 0.3, ratio_based, 0.000330924987793, , , , , , , , , 0.0117161273956
tf_sparse_matmul_func_bare, 100, 100, 0.3, n_per_line, 0.00160217285156, , , , , , , , , 0.011620759964
tf_sparse_matmul_func_bare, 100, 100, 0.5, ratio_based, 0.000338792800903, , , , , , , , , 0.011255979538
tf_sparse_matmul_func_bare, 100, 100, 0.5, n_per_line, 0.00159502029419, , , , , , , , , 0.0117671489716
tf_sparse_matmul_func_bare, 100, 100, 0.75, ratio_based, 0.000313997268677, , , , , , , , , 0.0114088058472
tf_sparse_matmul_func_bare, 100, 100, 0.75, n_per_line, 0.00155401229858, , , , , , , , , 0.011885881424
tf_sparse_matmul_func_bare, 100, 100, 1.0, ratio_based, 0.000270843505859, , , , , , , , , 0.0119812488556
tf_sparse_matmul_func_bare, 100, 100, 1.0, n_per_line, 0.00140309333801, , , , , , , , , 0.0117757320404
tf_sparse_matmul_func_bare, 500, 500, 0.01, ratio_based, 0.00535917282104, , , , , , , , , 0.0115389823914
tf_sparse_matmul_func_bare, 500, 500, 0.01, n_per_line, 0.0135521888733, , , , , , , , , 0.0119009017944
tf_sparse_matmul_func_bare, 500, 500, 0.03, ratio_based, 0.00553297996521, , , , , , , , , 0.0114970207214
tf_sparse_matmul_func_bare, 500, 500, 0.03, n_per_line, 0.0134589672089, , , , , , , , , 0.0117402076721
tf_sparse_matmul_func_bare, 500, 500, 0.05, ratio_based, 0.00554609298706, , , , , , , , , 0.0117490291595
tf_sparse_matmul_func_bare, 500, 500, 0.05, n_per_line, 0.0133759975433, , , , , , , , , 0.0124206542969
tf_sparse_matmul_func_bare, 500, 500, 0.1, ratio_based, 0.00574803352356, , , , , , , , , 0.0127909183502
tf_sparse_matmul_func_bare, 500, 500, 0.1, n_per_line, 0.0138220787048, , , , , , , , , 0.0131330490112
tf_sparse_matmul_func_bare, 500, 500, 0.15, ratio_based, 0.00590896606445, , , , , , , , , 0.0137310028076
tf_sparse_matmul_func_bare, 500, 500, 0.15, n_per_line, 0.0139329433441, , , , , , , , , 0.0139689445496
tf_sparse_matmul_func_bare, 500, 500, 0.2, ratio_based, 0.00605511665344, , , , , , , , , 0.0142760276794
tf_sparse_matmul_func_bare, 500, 500, 0.2, n_per_line, 0.0141191482544, , , , , , , , , 0.0140018463135
tf_sparse_matmul_func_bare, 500, 500, 0.3, ratio_based, 0.00626087188721, , , , , , , , , 0.01629114151
tf_sparse_matmul_func_bare, 500, 500, 0.3, n_per_line, 0.0143611431122, , , , , , , , , 0.0162348747253
tf_sparse_matmul_func_bare, 500, 500, 0.5, ratio_based, 0.00657796859741, , , , , , , , , 0.0214080810547
tf_sparse_matmul_func_bare, 500, 500, 0.5, n_per_line, 0.0150630474091, , , , , , , , , 0.0214738845825
tf_sparse_matmul_func_bare, 500, 500, 0.75, ratio_based, 0.00610899925232, , , , , , , , , 0.0268530845642
tf_sparse_matmul_func_bare, 500, 500, 0.75, n_per_line, 0.0140590667725, , , , , , , , , 0.0259680747986
tf_sparse_matmul_func_bare, 500, 500, 1.0, ratio_based, 0.0050528049469, , , , , , , , , 0.0276792049408
tf_sparse_matmul_func_bare, 500, 500, 1.0, n_per_line, 0.0128679275513, , , , , , , , , 0.0299110412598
tf_sparse_matmul_func_bare, 1000, 1000, 0.01, ratio_based, 0.0176780223846, , , , , , , , , 0.0124640464783
tf_sparse_matmul_func_bare, 1000, 1000, 0.01, n_per_line, 0.0373821258545, , , , , , , , , 0.0116899013519
tf_sparse_matmul_func_bare, 1000, 1000, 0.03, ratio_based, 0.0180530548096, , , , , , , , , 0.0136518478394
tf_sparse_matmul_func_bare, 1000, 1000, 0.03, n_per_line, 0.03852891922, , , , , , , , , 0.0133571624756
tf_sparse_matmul_func_bare, 1000, 1000, 0.05, ratio_based, 0.0184190273285, , , , , , , , , 0.014701128006
tf_sparse_matmul_func_bare, 1000, 1000, 0.05, n_per_line, 0.0381889343262, , , , , , , , , 0.013866186142
tf_sparse_matmul_func_bare, 1000, 1000, 0.1, ratio_based, 0.0192029476166, , , , , , , , , 0.0180830955505
tf_sparse_matmul_func_bare, 1000, 1000, 0.1, n_per_line, 0.0389070510864, , , , , , , , , 0.0177602767944
tf_sparse_matmul_func_bare, 1000, 1000, 0.15, ratio_based, 0.0198080539703, , , , , , , , , 0.0207130908966
tf_sparse_matmul_func_bare, 1000, 1000, 0.15, n_per_line, 0.0388879776001, , , , , , , , , 0.021203994751
tf_sparse_matmul_func_bare, 1000, 1000, 0.2, ratio_based, 0.0204770565033, , , , , , , , , 0.0235049724579
tf_sparse_matmul_func_bare, 1000, 1000, 0.2, n_per_line, 0.0402219295502, , , , , , , , , 0.0237290859222
tf_sparse_matmul_func_bare, 1000, 1000, 0.3, ratio_based, 0.0214891433716, , , , , , , , , 0.0342638492584
tf_sparse_matmul_func_bare, 1000, 1000, 0.3, n_per_line, 0.0414180755615, , , , , , , , , 0.032301902771
tf_sparse_matmul_func_bare, 1000, 1000, 0.5, ratio_based, 0.0223851203918, , , , , , , , , 0.0456418991089
tf_sparse_matmul_func_bare, 1000, 1000, 0.5, n_per_line, 0.0421879291534, , , , , , , , , 0.0519440174103
tf_sparse_matmul_func_bare, 1000, 1000, 0.75, ratio_based, 0.0204758644104, , , , , , , , , 0.0588109493256
tf_sparse_matmul_func_bare, 1000, 1000, 0.75, n_per_line, 0.0400178432465, , , , , , , , , 0.0581994056702
tf_sparse_matmul_func_bare, 1000, 1000, 1.0, ratio_based, 0.0163450241089, , , , , , , , , 0.0747029781342
tf_sparse_matmul_func_bare, 1000, 1000, 1.0, n_per_line, 0.0346660614014, , , , , , , , , 0.0830929279327
tf_sparse_matmul_func_bare, 2000, 2000, 0.01, ratio_based, 0.0686769485474, , , , , , , , , 0.0137779712677
tf_sparse_matmul_func_bare, 2000, 2000, 0.01, n_per_line, 0.119671821594, , , , , , , , , 0.0135838985443
tf_sparse_matmul_func_bare, 2000, 2000, 0.03, ratio_based, 0.0702528953552, , , , , , , , , 0.0183172225952
tf_sparse_matmul_func_bare, 2000, 2000, 0.03, n_per_line, 0.123580217361, , , , , , , , , 0.0176069736481
tf_sparse_matmul_func_bare, 2000, 2000, 0.05, ratio_based, 0.07160115242, , , , , , , , , 0.0247337818146
tf_sparse_matmul_func_bare, 2000, 2000, 0.05, n_per_line, 0.124805927277, , , , , , , , , 0.0223488807678
tf_sparse_matmul_func_bare, 2000, 2000, 0.1, ratio_based, 0.0746231079102, , , , , , , , , 0.0375390052795
tf_sparse_matmul_func_bare, 2000, 2000, 0.1, n_per_line, 0.126414060593, , , , , , , , , 0.0383620262146
tf_sparse_matmul_func_bare, 2000, 2000, 0.15, ratio_based, 0.0770909786224, , , , , , , , , 0.0511710643768
tf_sparse_matmul_func_bare, 2000, 2000, 0.15, n_per_line, 0.127995014191, , , , , , , , , 0.0522921085358
tf_sparse_matmul_func_bare, 2000, 2000, 0.2, ratio_based, 0.0791440010071, , , , , , , , , 0.0662109851837
tf_sparse_matmul_func_bare, 2000, 2000, 0.2, n_per_line, 0.131045103073, , , , , , , , , 0.0646138191223
tf_sparse_matmul_func_bare, 2000, 2000, 0.3, ratio_based, 0.0830030441284, , , , , , , , , 0.104573965073
tf_sparse_matmul_func_bare, 2000, 2000, 0.3, n_per_line, 0.135560035706, , , , , , , , , 0.0984501838684
tf_sparse_matmul_func_bare, 2000, 2000, 0.5, ratio_based, 0.0874660015106, , , , , , , , , 0.139522314072
tf_sparse_matmul_func_bare, 2000, 2000, 0.5, n_per_line, 0.139847040176, , , , , , , , , 0.158734083176
tf_sparse_matmul_func_bare, 2000, 2000, 0.75, ratio_based, 0.080589056015, , , , , , , , , 0.223419904709
tf_sparse_matmul_func_bare, 2000, 2000, 0.75, n_per_line, 0.131155014038, , , , , , , , , 0.226037979126
tf_sparse_matmul_func_bare, 2000, 2000, 1.0, ratio_based, 0.06272315979, , , , , , , , , 0.277620077133
tf_sparse_matmul_func_bare, 2000, 2000, 1.0, n_per_line, 0.110584974289, , , , , , , , , 0.271473407745
